City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
182,Krabi,TH,77.2,few clouds,8.0726,98.9105,Tharapark View Hotel
187,Marovoay,MG,78.94,clear sky,-16.1,46.6333,Hôtel les Oliviers Marovoay
193,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
198,Georgetown,MY,77.9,scattered clouds,5.4112,100.3354,Cititel Penang
202,Buraydah,SA,79.25,clear sky,26.326,43.975,فندق راحة السلام
218,Dingle,PH,75.42,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
219,Posse,BR,88.59,overcast clouds,-14.0931,-46.3694,Pousada das Palmeiras
228,Sao Filipe,CV,79.86,overcast clouds,14.8961,-24.4956,Hotel Xaguate
234,Mount Isa,AU,76.62,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
235,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
236,Sola,VU,81.16,clear sky,-13.8833,167.55,Leumerus Bungalows
237,Isabela,PH,79.38,moderate rain,6.7085,121.9711,Isawad Resort
238,Banjar,ID,77.77,overcast clouds,-8.19,114.9675,The Hamsa Resort
241,Zorritos,PE,75.49,scattered clouds,-3.6805,-80.6782,Costa Azul Zorritos Mango
242,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
246,Nizwa,OM,79.27,clear sky,22.9333,57.5333,Orient Apartments
250,Voi,KE,77.13,broken clouds,-3.3945,38.563,Voi Wildlife Lodge
254,Salalah,OM,80.26,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
260,Santa Rosa,PH,80.58,clear sky,14.3122,121.1114,Erlyn’s Sta Rosa City Home
261,Natal,BR,88.45,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
262,Manokwari,ID,78.31,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
264,Bozdar,PK,75.27,clear sky,27.1828,68.636,Hadi Hassan Shah Stop
272,Salinopolis,BR,82.99,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
273,Cam Ranh,VN,78.76,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
277,Nanakuli,US,77.7,clear sky,21.3906,-158.1547,Camp Pālehua
279,Nsanje,MW,80.74,clear sky,-16.92,35.262,Nsanje Discovery Lodge
289,Carutapera,BR,84.16,scattered clouds,-1.195,-46.02,Lidera
290,Praia,CV,81.14,scattered clouds,14.9215,-23.5087,LT Aparthotel
293,Gigmoto,PH,80.78,overcast clouds,13.7796,124.39,Cj's Travellers Inn
294,San Patricio,US,81.05,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
302,Meulaboh,ID,75.63,overcast clouds,4.1363,96.1285,Kost Pria
305,Tual,ID,83.07,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
306,Jaumave,MX,75.96,clear sky,23.4167,-99.3833,HOTEL CIENEGA
309,Cabo San Lucas,MX,87.19,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
310,Bangui,CF,89.78,few clouds,4.3612,18.555,SAM HOTEL
316,Faanui,PF,78.35,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
320,Siocon,PH,78.85,overcast clouds,7.7061,122.1353,ABS Hotel
322,Chinsali,ZM,78.26,broken clouds,-10.5414,32.0816,Chisakatu Guest House
325,Barstow,US,77.77,clear sky,34.8986,-117.0228,"Motel 6 Barstow, CA"
326,Kolondieba,ML,83.53,overcast clouds,11.0882,-6.8926,Hotel Dakan
327,Vaitape,PF,78.33,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
329,Mana,GF,83.77,scattered clouds,5.6592,-53.7767,LE SAMANA
330,Axim,GH,79.45,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
339,Gamboma,CG,78.39,overcast clouds,-1.8764,15.8644,Residence N'Keni
346,Andros Town,BS,82.36,broken clouds,24.7,-77.7667,Hanks place
351,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
360,Sinnamary,GF,84.94,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
363,Belmonte,BR,82.4,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
364,Olinda,BR,83.93,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
365,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
367,Maragogi,BR,81.1,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
374,Manavalakurichi,IN,78.89,moderate rain,8.1333,77.3,Udaya Boys Hostel
378,Bengkulu,ID,76.12,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
381,Bol,TD,84.83,few clouds,13.4586,14.7147,Hotel 3 Etoiles
386,Grand-Santi,GF,84.58,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
393,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
395,Marana,US,85.19,clear sky,32.4367,-111.2254,Valley of the Sun Mobile Home & RV Park 55+
397,Chowchilla,US,81.0,mist,37.123,-120.2602,Days Inn by Wyndham Chowchilla Gateway to Yosemite
399,Kirakira,SB,80.85,overcast clouds,-10.4544,161.9205,SanBiz Lodge
401,Sakakah,SA,81.97,overcast clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
405,Labuhan,ID,81.07,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
408,Moranbah,AU,76.95,scattered clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
409,Auki,SB,77.14,broken clouds,-8.7676,160.7034,Auki Motel
411,Samfya,ZM,79.95,scattered clouds,-11.3649,29.5565,Chita Lodge Samfya
418,Benguela,AO,75.78,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
423,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
424,San Rafael,AR,76.66,broken clouds,-34.6177,-68.3301,Hotel San Rafael
425,Boundiali,CI,81.19,overcast clouds,9.5217,-6.4869,Hotel Paysan Boundiali
