City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Saquena,PE,2021-10-21 23:37:50,-4.6667,-73.5167,80.67,74,97,1.9
122,Mar Del Plata,AR,2021-10-21 23:35:55,-38.0023,-57.5575,69.82,86,0,13.0
123,Severo-Kurilsk,RU,2021-10-21 23:37:53,50.6789,156.125,39.6,62,97,7.52
124,Wajid,SO,2021-10-21 23:37:54,3.8093,43.2471,74.62,80,52,14.38
125,Hirara,JP,2021-10-21 23:37:56,24.8,125.2833,71.87,100,75,12.66
126,Yantzaza,EC,2021-10-21 23:37:57,-3.8278,-78.7594,70.2,96,89,0.63
127,Sume,BR,2021-10-21 23:37:57,-7.6717,-36.88,76.51,70,88,14.12
128,Hithadhoo,MV,2021-10-21 23:37:58,-0.6,73.0833,81.23,75,100,9.51
129,Torbay,CA,2021-10-21 23:35:33,47.6666,-52.7314,47.68,77,75,17.27
130,Victoria,HK,2021-10-21 23:35:18,22.2855,114.1577,67.32,82,100,1.01
131,Petropavlovsk-Kamchatskiy,RU,2021-10-21 23:38:00,53.0452,158.6483,27.19,54,0,8.95
132,Sorland,NO,2021-10-21 23:38:02,67.667,12.6934,40.6,64,100,20.38
133,Kokopo,PG,2021-10-21 23:38:04,-4.352,152.2633,84.13,67,77,4.79
134,Tuatapere,NZ,2021-10-21 23:38:05,-46.1333,167.6833,61.99,46,1,2.66
135,Benghazi,LY,2021-10-21 23:38:08,32.1167,20.0667,70.0,55,47,7.54
136,Vanimo,PG,2021-10-21 23:38:09,-2.6741,141.3028,83.75,67,98,3.22
137,Bengkulu,ID,2021-10-21 23:38:10,-3.8004,102.2655,75.54,90,90,2.55
138,Carnarvon,AU,2021-10-21 23:36:12,-24.8667,113.6333,64.47,68,0,24.16
139,Havelock,US,2021-10-21 23:38:02,34.8791,-76.9013,73.38,79,85,3.0
140,Zalantun,CN,2021-10-21 23:38:13,48.0,122.7167,37.53,59,1,5.64
141,Tabou,CI,2021-10-21 23:38:13,4.423,-7.3528,77.05,89,98,6.96
142,Chinsali,ZM,2021-10-21 23:34:16,-10.5414,32.0816,63.16,77,24,5.23
143,Esperance,AU,2021-10-21 23:36:18,-33.8667,121.9,57.04,68,73,13.85
144,Tingi,TZ,2021-10-21 23:38:18,-11.3,35.0333,62.01,85,53,3.33
145,Polunochnoye,RU,2021-10-21 23:38:20,60.8697,60.4153,28.8,94,100,7.45
146,Luanda,AO,2021-10-21 23:33:27,-8.8368,13.2343,77.0,83,75,4.61
147,Maldonado,UY,2021-10-21 23:38:21,-34.6667,-54.9167,60.22,89,7,7.96
148,Chuy,UY,2021-10-21 23:38:22,-33.6971,-53.4616,55.74,84,3,5.99
