City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
169,Faya,SA,18.3851,42.4509,66.72,37,41,9.71,scattered clouds
170,College,US,64.8569,-147.8028,29.66,89,20,9.22,few clouds
171,Kousseri,CM,12.0769,15.0306,94.96,15,57,3.44,dust
172,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,87,100,13.62,overcast clouds
173,Cidreira,BR,-30.1811,-50.2056,71.15,78,72,22.97,broken clouds
174,Dover,US,39.1582,-75.5244,67.98,65,75,10.36,broken clouds
175,Saint-Philippe,RE,-21.3585,55.7679,72.99,80,75,3.31,broken clouds
176,Makakilo City,US,21.3469,-158.0858,76.28,76,2,2.82,clear sky
177,Shahrud,IR,36.4182,54.9763,53.06,49,41,6.31,scattered clouds
178,Lawigan,PH,10.487,122.0354,76.44,88,74,12.24,broken clouds
179,Thinadhoo,MV,0.5333,72.9333,83.16,76,43,14.54,scattered clouds
180,Hailar,CN,49.2,119.7,26.55,44,6,5.88,clear sky
181,Sorland,NO,67.667,12.6934,49.23,90,100,20.45,overcast clouds
182,Krabi,TH,8.0726,98.9105,77.2,94,20,2.3,few clouds
183,Agirish,RU,61.9247,63.0231,15.98,99,87,3.33,overcast clouds
184,Tacoronte,ES,28.4769,-16.4102,67.26,69,20,2.3,few clouds
185,Kiama,AU,-34.6833,150.8667,49.48,82,27,4.92,scattered clouds
186,Kuytun,RU,54.3419,101.5036,30.63,78,93,3.83,overcast clouds
187,Marovoay,MG,-16.1,46.6333,78.94,78,6,6.38,clear sky
188,Tres Arroyos,AR,-38.3739,-60.2798,65.61,49,84,19.37,broken clouds
189,Nusaybin,TR,37.0778,41.2178,66.72,51,100,9.53,overcast clouds
190,Solvychegodsk,RU,61.3305,46.9156,36.77,100,100,2.71,overcast clouds
191,Atar,MR,20.5169,-13.0499,90.48,23,100,3.58,overcast clouds
192,Shubarshi,KZ,48.5872,57.1869,43.11,79,46,8.28,scattered clouds
193,San Cristobal,VE,7.7669,-72.225,78.98,87,98,3.58,overcast clouds
194,Dinan,FR,48.4167,-2.25,53.74,73,98,9.26,overcast clouds
195,Inuvik,CA,68.3499,-133.7218,17.64,88,75,0.0,broken clouds
196,Talaya,RU,61.3833,152.75,5.94,96,100,6.53,overcast clouds
197,Alofi,NU,-19.0595,-169.9187,73.29,83,100,3.44,light rain
198,Georgetown,MY,5.4112,100.3354,77.9,94,40,1.99,scattered clouds
199,Hualmay,PE,-11.0964,-77.6139,68.58,71,50,7.83,scattered clouds
200,Curup,ID,-3.4667,102.5333,68.23,96,100,2.19,overcast clouds
201,Torbay,CA,47.6666,-52.7314,52.57,46,20,9.22,few clouds
202,Buraydah,SA,26.326,43.975,79.25,24,0,10.0,clear sky
203,Krasnoselkup,RU,65.7,82.4667,6.15,98,92,5.5,overcast clouds
204,Orlik,RU,52.5178,99.825,27.48,67,100,4.25,overcast clouds
205,Aleksandrov Gay,RU,50.147,48.5704,44.02,66,34,8.57,scattered clouds
206,Roald,NO,62.5833,6.1333,51.91,66,0,8.05,clear sky
207,Artyom,AZ,40.4723,50.333,53.74,65,100,5.14,overcast clouds
208,Adelaide,AU,-34.9333,138.6,48.18,79,20,4.61,few clouds
209,Tetelzingo,MX,19.0667,-97.15,61.27,63,49,4.68,scattered clouds
210,Sambava,MG,-14.2667,50.1667,74.75,87,15,8.93,light rain
211,Hami,CN,42.8,93.45,51.85,39,99,3.76,overcast clouds
212,Dobson,US,36.3957,-80.7226,59.14,80,90,6.96,overcast clouds
213,Seoul,KR,37.5683,126.9778,53.04,90,0,2.3,clear sky
214,Bangassou,CF,4.7413,22.8184,70.81,97,76,4.34,light rain
215,Mocuba,MZ,-16.8392,36.9856,72.3,60,1,6.78,clear sky
216,Olafsvik,IS,64.8945,-23.7142,42.91,87,46,16.24,scattered clouds
217,Gauting,DE,48.0692,11.377,50.2,85,0,2.3,clear sky
218,Dingle,PH,10.9995,122.6711,75.42,92,89,8.1,overcast clouds
219,Posse,BR,-14.0931,-46.3694,88.59,30,85,3.11,overcast clouds
220,Iquique,CL,-20.2208,-70.1431,66.24,67,12,7.18,few clouds
221,Huilong,CN,31.8111,121.655,63.03,81,9,4.72,clear sky
222,Onguday,RU,50.75,86.15,35.26,76,100,2.21,overcast clouds
223,Severo-Kurilsk,RU,50.6789,156.125,39.25,82,8,12.46,clear sky
224,Sitka,US,57.0531,-135.33,42.03,92,100,5.97,overcast clouds
225,Zabaykalsk,RU,49.6333,117.3167,22.98,44,2,2.93,clear sky
226,Broome,US,42.2506,-75.833,56.32,81,90,1.99,overcast clouds
227,Tsiroanomandidy,MG,-18.7667,46.0333,73.94,49,24,5.91,few clouds
228,Sao Filipe,CV,14.8961,-24.4956,79.86,75,94,10.83,overcast clouds
229,Methoni,GR,36.8197,21.7049,62.46,59,26,7.92,scattered clouds
230,Beringovskiy,RU,63.05,179.3167,6.58,94,98,17.78,overcast clouds
231,Flinders,AU,-34.5833,150.8552,54.81,74,20,4.76,few clouds
232,Harwich,GB,51.9419,1.2844,54.21,73,91,4.0,overcast clouds
233,Tambovka,RU,50.0969,128.0489,19.51,50,3,9.42,clear sky
234,Mount Isa,AU,-20.7333,139.5,76.62,23,90,19.82,overcast clouds
235,Oranjestad,AW,12.524,-70.027,82.35,74,20,14.97,few clouds
236,Sola,VU,-13.8833,167.55,81.16,69,9,16.93,clear sky
237,Isabela,PH,6.7085,121.9711,79.38,82,93,1.79,moderate rain
238,Banjar,ID,-8.19,114.9675,77.77,89,95,1.74,overcast clouds
239,Marmora,IT,44.4583,7.094,44.53,99,100,1.3,overcast clouds
